// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.01 sec)   *****
// Found 2 benchmarks:
//   MyBenchmark.UseEntity: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)
//   MyBenchmark.UseEntityBufferedMessageForeach: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: MyBenchmark.UseEntity: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)
// *** Execute ***
// Launch: 1 / 2

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.13.8
// Runtime=.NET 7.0.11 (7.0.1123.42427), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT,AvxVnni,SERIALIZE VectorSize=256
// Job: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)

// Runtime=.NET 7.0.11 (7.0.1123.42427), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT,AvxVnni,SERIALIZE VectorSize=256
// Job: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)

OverheadJitting  1: 1 op, 162400.00 ns, 162.4000 us/op
WorkloadJitting  1: 1 op, 892300.00 ns, 892.3000 us/op

OverheadJitting  2: 16 op, 224900.00 ns, 14.0563 us/op
WorkloadJitting  2: 16 op, 5500.00 ns, 343.7500 ns/op

WorkloadPilot    1: 16 op, 4600.00 ns, 287.5000 ns/op
WorkloadPilot    2: 32 op, 6700.00 ns, 209.3750 ns/op
WorkloadPilot    3: 64 op, 11400.00 ns, 178.1250 ns/op
WorkloadPilot    4: 128 op, 20300.00 ns, 158.5938 ns/op
WorkloadPilot    5: 256 op, 38700.00 ns, 151.1719 ns/op
WorkloadPilot    6: 512 op, 86000.00 ns, 167.9688 ns/op
WorkloadPilot    7: 1024 op, 184300.00 ns, 179.9805 ns/op
WorkloadPilot    8: 2048 op, 298800.00 ns, 145.8984 ns/op
WorkloadPilot    9: 4096 op, 585500.00 ns, 142.9443 ns/op
WorkloadPilot   10: 8192 op, 1191500.00 ns, 145.4468 ns/op
WorkloadPilot   11: 16384 op, 2480400.00 ns, 151.3916 ns/op
WorkloadPilot   12: 32768 op, 4806200.00 ns, 146.6736 ns/op
WorkloadPilot   13: 65536 op, 9847700.00 ns, 150.2640 ns/op
WorkloadPilot   14: 131072 op, 19613800.00 ns, 149.6414 ns/op
WorkloadPilot   15: 262144 op, 38451900.00 ns, 146.6824 ns/op
WorkloadPilot   16: 524288 op, 67673100.00 ns, 129.0762 ns/op
WorkloadPilot   17: 1048576 op, 8923000.00 ns, 8.5096 ns/op
WorkloadPilot   18: 2097152 op, 18146500.00 ns, 8.6529 ns/op
WorkloadPilot   19: 4194304 op, 36567600.00 ns, 8.7184 ns/op
WorkloadPilot   20: 8388608 op, 80606000.00 ns, 9.6090 ns/op
WorkloadPilot   21: 16777216 op, 160084300.00 ns, 9.5418 ns/op
WorkloadPilot   22: 33554432 op, 318631400.00 ns, 9.4960 ns/op
WorkloadPilot   23: 67108864 op, 578568300.00 ns, 8.6213 ns/op

OverheadWarmup   1: 67108864 op, 219031900.00 ns, 3.2638 ns/op
OverheadWarmup   2: 67108864 op, 211027300.00 ns, 3.1446 ns/op
OverheadWarmup   3: 67108864 op, 212358700.00 ns, 3.1644 ns/op
OverheadWarmup   4: 67108864 op, 203012300.00 ns, 3.0251 ns/op
OverheadWarmup   5: 67108864 op, 213561400.00 ns, 3.1823 ns/op
OverheadWarmup   6: 67108864 op, 205802600.00 ns, 3.0667 ns/op

OverheadActual   1: 67108864 op, 207714800.00 ns, 3.0952 ns/op
OverheadActual   2: 67108864 op, 208888500.00 ns, 3.1127 ns/op
OverheadActual   3: 67108864 op, 216990600.00 ns, 3.2334 ns/op
OverheadActual   4: 67108864 op, 314899800.00 ns, 4.6924 ns/op
OverheadActual   5: 67108864 op, 332737700.00 ns, 4.9582 ns/op
OverheadActual   6: 67108864 op, 330604400.00 ns, 4.9264 ns/op
OverheadActual   7: 67108864 op, 327098600.00 ns, 4.8741 ns/op
OverheadActual   8: 67108864 op, 328720000.00 ns, 4.8983 ns/op
OverheadActual   9: 67108864 op, 336341300.00 ns, 5.0119 ns/op
OverheadActual  10: 67108864 op, 273058200.00 ns, 4.0689 ns/op
OverheadActual  11: 67108864 op, 239153400.00 ns, 3.5637 ns/op
OverheadActual  12: 67108864 op, 237893100.00 ns, 3.5449 ns/op
OverheadActual  13: 67108864 op, 216691000.00 ns, 3.2289 ns/op
OverheadActual  14: 67108864 op, 225653300.00 ns, 3.3625 ns/op
OverheadActual  15: 67108864 op, 212750500.00 ns, 3.1702 ns/op
OverheadActual  16: 67108864 op, 224699800.00 ns, 3.3483 ns/op
OverheadActual  17: 67108864 op, 206537900.00 ns, 3.0777 ns/op
OverheadActual  18: 67108864 op, 193241300.00 ns, 2.8795 ns/op
OverheadActual  19: 67108864 op, 220028900.00 ns, 3.2787 ns/op
OverheadActual  20: 67108864 op, 229201900.00 ns, 3.4154 ns/op

WorkloadWarmup   1: 67108864 op, 682286400.00 ns, 10.1669 ns/op
WorkloadWarmup   2: 67108864 op, 618387400.00 ns, 9.2147 ns/op
WorkloadWarmup   3: 67108864 op, 638448600.00 ns, 9.5136 ns/op
WorkloadWarmup   4: 67108864 op, 587306200.00 ns, 8.7515 ns/op
WorkloadWarmup   5: 67108864 op, 584043300.00 ns, 8.7029 ns/op
WorkloadWarmup   6: 67108864 op, 574368900.00 ns, 8.5588 ns/op
WorkloadWarmup   7: 67108864 op, 602658900.00 ns, 8.9803 ns/op
WorkloadWarmup   8: 67108864 op, 645030600.00 ns, 9.6117 ns/op
WorkloadWarmup   9: 67108864 op, 593343400.00 ns, 8.8415 ns/op
WorkloadWarmup  10: 67108864 op, 589833100.00 ns, 8.7892 ns/op

WorkloadActual   1: 67108864 op, 601507100.00 ns, 8.9632 ns/op
WorkloadActual   2: 67108864 op, 542581500.00 ns, 8.0851 ns/op
WorkloadActual   3: 67108864 op, 612594400.00 ns, 9.1284 ns/op
WorkloadActual   4: 67108864 op, 550896700.00 ns, 8.2090 ns/op
WorkloadActual   5: 67108864 op, 576102300.00 ns, 8.5846 ns/op
WorkloadActual   6: 67108864 op, 614812000.00 ns, 9.1614 ns/op
WorkloadActual   7: 67108864 op, 568904100.00 ns, 8.4773 ns/op
WorkloadActual   8: 67108864 op, 653591000.00 ns, 9.7393 ns/op
WorkloadActual   9: 67108864 op, 654314000.00 ns, 9.7500 ns/op
WorkloadActual  10: 67108864 op, 556590700.00 ns, 8.2938 ns/op
WorkloadActual  11: 67108864 op, 597992900.00 ns, 8.9108 ns/op
WorkloadActual  12: 67108864 op, 559290200.00 ns, 8.3341 ns/op
WorkloadActual  13: 67108864 op, 594755800.00 ns, 8.8626 ns/op
WorkloadActual  14: 67108864 op, 594736000.00 ns, 8.8623 ns/op
WorkloadActual  15: 67108864 op, 594298200.00 ns, 8.8557 ns/op

WorkloadResult   1: 67108864 op, 374079500.00 ns, 5.5742 ns/op
WorkloadResult   2: 67108864 op, 315153900.00 ns, 4.6962 ns/op
WorkloadResult   3: 67108864 op, 385166800.00 ns, 5.7394 ns/op
WorkloadResult   4: 67108864 op, 323469100.00 ns, 4.8201 ns/op
WorkloadResult   5: 67108864 op, 348674700.00 ns, 5.1957 ns/op
WorkloadResult   6: 67108864 op, 387384400.00 ns, 5.7725 ns/op
WorkloadResult   7: 67108864 op, 341476500.00 ns, 5.0884 ns/op
WorkloadResult   8: 67108864 op, 426163400.00 ns, 6.3503 ns/op
WorkloadResult   9: 67108864 op, 426886400.00 ns, 6.3611 ns/op
WorkloadResult  10: 67108864 op, 329163100.00 ns, 4.9049 ns/op
WorkloadResult  11: 67108864 op, 370565300.00 ns, 5.5219 ns/op
